,event_id,subject_id,timestamp,session_index,plane,setup,task,block,trial_index,stim_number,stim_type,stim_country_ids,stim_sexes,stim_talker_ids,speaker_ids,stim_level,resp_number,is_correct,speaker_distance_mean,speaker_distance_st_dev,reaction_time,spectral_coverage
0,,101,2024-06-21 12:42:27,3,distance,cathedral,numerosity_judgement,99,0,3,countries_reversed,"['_Peru_reversed', '_Tonga_reversed', '_Yemen_reversed']","['m', 'f', 'f']","['p318', 'p245', 'p268']","[4, 1, 6]","[89.31368318402099, 86.2038576498559, 91.58892582949886]",2.0,False,5.666666666666667,2.516611478423583,1.6465017795562744,0.6364998297582567
0,,101,2024-06-21 12:42:31,3,distance,cathedral,numerosity_judgement,99,1,6,countries_reversed,"['_Sudan_reversed', '_Mali_reversed', '_Oman_reversed', '_Belgium_reversed', '_Syria_reversed', '_Britain_reversed']","['m', 'f', 'f', 'm', 'm', 'f']","['p318', 'p248', 'p284', 'p256', 'p229', 'p268']","[4, 3, 10, 6, 0, 2]","[89.31368318402099, 89.14911522239515, 93.00003341222717, 91.58892582949886, 84.40078082039426, 87.57049330475357]",3.0,False,6.166666666666667,3.488074922742725,1.9933979511260986,0.8495403472931563
0,,101,2024-06-21 12:42:36,3,distance,cathedral,numerosity_judgement,99,2,2,countries_reversed,"['_Tonga_reversed', '_Belgium_reversed']","['f', 'f']","['p248', 'p268']","[0, 4]","[84.40078082039426, 89.31368318402099]",4.0,False,4.0,2.8284271247461903,1.4915242195129395,0.9165928952445808
0,,101,2024-06-21 12:42:39,3,distance,cathedral,numerosity_judgement,99,3,4,countries_reversed,"['_Britain_reversed', '_Tonga_reversed', '_Syria_reversed', '_Oman_reversed']","['m', 'f', 'm', 'f']","['p256', 'p245', 'p229', 'p248']","[3, 5, 0, 1]","[89.14911522239515, 90.34149293193902, 84.40078082039426, 86.2038576498559]",5.0,False,4.25,2.217355782608345,1.046804428100586,0.740154352513903
0,,101,2024-06-21 12:42:44,3,distance,cathedral,numerosity_judgement,99,4,5,countries_reversed,"['_Cuba_reversed', '_Yemen_reversed', '_Peru_reversed', '_Mali_reversed', '_Oman_reversed']","['m', 'm', 'f', 'f', 'm']","['p256', 'p307', 'p284', 'p248', 'p229']","[3, 10, 5, 9, 8]","[89.14911522239515, 93.00003341222717, 90.34149293193902, 92.00610777531934, 92.0152836843556]",5.0,True,9.0,2.9154759474226504,1.593639850616455,0.7437521280217909
0,,101,2024-06-21 12:42:49,3,distance,cathedral,numerosity_judgement,99,5,2,countries_reversed,"['_Oman_reversed', '_Britain_reversed']","['m', 'm']","['p229', 'p256']","[6, 5]","[91.58892582949886, 90.34149293193902]",2.0,True,7.5,0.7071067811865476,2.6091973781585693,0.5471229145386449
0,,101,2024-06-21 12:42:55,3,distance,cathedral,numerosity_judgement,99,6,6,countries_reversed,"['_Syria_reversed', '_Belgium_reversed', '_Yemen_reversed', '_Tonga_reversed', '_Mali_reversed', '_Cuba_reversed']","['m', 'f', 'm', 'f', 'f', 'm']","['p229', 'p284', 'p307', 'p245', 'p268', 'p256']","[7, 6, 0, 3, 4, 2]","[91.73820004985969, 91.58892582949886, 84.40078082039426, 89.14911522239515, 89.31368318402099, 87.57049330475357]",4.0,False,5.666666666666667,2.581988897471611,2.6117565631866455,0.7922483259561911
0,,101,2024-06-21 12:42:59,3,distance,cathedral,numerosity_judgement,99,7,3,countries_reversed,"['_Sudan_reversed', '_Japan_reversed', '_Congo_reversed']","['f', 'f', 'f']","['p245', 'p268', 'p284']","[8, 2, 4]","[92.0152836843556, 87.57049330475357, 89.31368318402099]",5.0,False,6.666666666666667,3.0550504633038935,1.203042984008789,0.8921121325615707
0,,101,2024-06-21 12:43:04,3,distance,cathedral,numerosity_judgement,99,8,5,countries_reversed,"['_Britain_reversed', '_Japan_reversed', '_Congo_reversed', '_Yemen_reversed', '_Peru_reversed']","['m', 'f', 'f', 'm', 'm']","['p307', 'p248', 'p284', 'p229', 'p318']","[5, 7, 9, 0, 6]","[90.34149293193902, 91.73820004985969, 92.00610777531934, 84.40078082039426, 91.58892582949886]",5.0,True,7.4,3.361547262794322,1.281163215637207,0.855691748950176
0,,101,2024-06-21 12:44:28,3,distance,cathedral,numerosity_judgement,99,0,6,countries_reversed,"['_Sudan_reversed', '_Belgium_reversed', '_Tonga_reversed', '_Togo_reversed', '_Cuba_reversed', '_Congo_reversed']","['f', 'm', 'f', 'm', 'm', 'f']","['p284', 'p256', 'p248', 'p229', 'p318', 'p268']","[0, 7, 9, 10, 6, 2]","[84.40078082039426, 91.73820004985969, 92.00610777531934, 93.00003341222717, 91.58892582949886, 87.57049330475357]",6.0,True,7.666666666666667,3.9327683210007,2.062359094619751,0.8542049710589037
0,,101,2024-06-21 12:44:33,3,distance,cathedral,numerosity_judgement,99,1,5,countries_reversed,"['_Oman_reversed', '_Peru_reversed', '_Mali_reversed', '_Syria_reversed', '_Belgium_reversed']","['f', 'm', 'f', 'f', 'm']","['p248', 'p256', 'p268', 'p284', 'p307']","[4, 8, 7, 1, 9]","[89.31368318402099, 92.0152836843556, 91.73820004985969, 86.2038576498559, 92.00610777531934]",2.0,False,7.8,3.2710854467592254,1.5467710494995117,0.8171830666212688
0,,101,2024-06-21 12:44:37,3,distance,cathedral,numerosity_judgement,99,2,2,countries_reversed,"['_Mali_reversed', '_Belgium_reversed']","['f', 'm']","['p245', 'p256']","[10, 2]","[93.00003341222717, 87.57049330475357]",2.0,True,8.0,5.656854249492381,1.8417253494262695,0.7580524344569288
0,,101,2024-06-21 12:44:42,3,distance,cathedral,numerosity_judgement,99,3,3,countries_reversed,"['_Yemen_reversed', '_Japan_reversed', '_Oman_reversed']","['f', 'm', 'm']","['p248', 'p256', 'p307']","[5, 4, 7]","[90.34149293193902, 89.31368318402099, 91.73820004985969]",3.0,True,7.333333333333333,1.5275252316519465,1.4533472061157227,0.5919305413687436
0,,101,2024-06-21 12:44:46,3,distance,cathedral,numerosity_judgement,99,4,4,countries_reversed,"['_Belgium_reversed', '_Tonga_reversed', '_Cuba_reversed', '_Mali_reversed']","['m', 'm', 'f', 'f']","['p307', 'p256', 'p268', 'p284']","[4, 6, 0, 9]","[89.31368318402099, 91.58892582949886, 84.40078082039426, 92.00610777531934]",2.0,False,6.75,3.774917217635375,1.189157485961914,0.7961184882533198
0,,101,2024-06-21 12:44:51,3,distance,cathedral,numerosity_judgement,99,5,6,countries_reversed,"['_Yemen_reversed', '_Oman_reversed', '_Japan_reversed', '_Syria_reversed', '_Cuba_reversed', '_Mali_reversed']","['f', 'f', 'm', 'f', 'm', 'm']","['p248', 'p245', 'p229', 'p268', 'p307', 'p256']","[6, 7, 9, 1, 8, 3]","[91.58892582949886, 91.73820004985969, 92.00610777531934, 86.2038576498559, 92.0152836843556, 89.14911522239515]",5.0,False,7.666666666666667,3.0767948691238205,1.8279221057891846,0.717512200658268
0,,101,2024-06-21 12:44:55,3,distance,cathedral,numerosity_judgement,99,6,2,countries_reversed,"['_Yemen_reversed', '_Cuba_reversed']","['m', 'f']","['p229', 'p248']","[5, 9]","[90.34149293193902, 92.00610777531934]",2.0,True,9.0,2.8284271247461903,1.3273906707763672,0.5641130405175349
0,,101,2024-06-21 12:45:00,3,distance,cathedral,numerosity_judgement,99,7,5,countries_reversed,"['_Japan_reversed', '_Oman_reversed', '_Tonga_reversed', '_Cuba_reversed', '_Mali_reversed']","['m', 'f', 'f', 'm', 'm']","['p256', 'p268', 'p248', 'p229', 'p318']","[4, 10, 0, 9, 6]","[89.31368318402099, 93.00003341222717, 84.40078082039426, 92.00610777531934, 91.58892582949886]",5.0,True,7.8,4.024922359499621,1.6717612743377686,0.7889569855861991
0,,101,2024-06-21 12:45:04,3,distance,cathedral,numerosity_judgement,99,8,4,countries_reversed,"['_Cuba_reversed', '_Britain_reversed', '_Syria_reversed', '_Yemen_reversed']","['f', 'm', 'm', 'm']","['p268', 'p307', 'p318', 'p256']","[9, 10, 8, 2]","[92.00610777531934, 93.00003341222717, 92.0152836843556, 87.57049330475357]",4.0,True,9.25,3.593976442141304,1.8279998302459717,0.6582907728975145
0,,101,2024-06-21 12:45:08,3,distance,cathedral,numerosity_judgement,99,9,3,countries_reversed,"['_Mali_reversed', '_Cuba_reversed', '_Yemen_reversed']","['m', 'm', 'f']","['p229', 'p256', 'p248']","[3, 4, 9]","[89.14911522239515, 89.31368318402099, 92.00610777531934]",5.0,False,7.333333333333333,3.2145502536643185,1.3280344009399414,0.7165134490977187
0,,101,2024-06-21 12:45:16,3,distance,cathedral,numerosity_judgement,99,10,2,countries_reversed,"['_Cuba_reversed', '_Yemen_reversed']","['m', 'f']","['p307', 'p248']","[2, 6]","[87.57049330475357, 91.58892582949886]",2.0,True,6.0,2.8284271247461903,5.014373779296875,0.6170809215753036
0,,101,2024-06-21 12:45:20,3,distance,cathedral,numerosity_judgement,99,11,6,countries_reversed,"['_Yemen_reversed', '_Tonga_reversed', '_Britain_reversed', '_Peru_reversed', '_Mali_reversed', '_Congo_reversed']","['f', 'f', 'm', 'f', 'f', 'm']","['p268', 'p245', 'p307', 'p284', 'p248', 'p256']","[6, 2, 0, 7, 5, 8]","[91.58892582949886, 87.57049330475357, 84.40078082039426, 91.73820004985969, 90.34149293193902, 92.0152836843556]",3.0,False,6.666666666666667,3.0767948691238205,1.5319418907165527,0.7525933492225627
0,,101,2024-06-21 12:45:24,3,distance,cathedral,numerosity_judgement,99,12,5,countries_reversed,"['_Peru_reversed', '_Togo_reversed', '_Belgium_reversed', '_Oman_reversed', '_Mali_reversed']","['m', 'f', 'f', 'f', 'f']","['p229', 'p284', 'p268', 'p245', 'p248']","[0, 6, 9, 4, 2]","[84.40078082039426, 91.58892582949886, 92.00610777531934, 89.31368318402099, 87.57049330475357]",2.0,False,6.2,3.492849839314596,1.2030422687530518,0.887946884576098
0,,101,2024-06-21 12:49:34,3,distance,cathedral,numerosity_judgement,99,0,5,countries_reversed,"['_Cuba_reversed', '_Sudan_reversed', '_Mali_reversed', '_Peru_reversed', '_Yemen_reversed']","['f', 'm', 'f', 'm', 'f']","['p248', 'p307', 'p245', 'p256', 'p268']","[8, 0, 6, 7, 4]","[92.0152836843556, 84.40078082039426, 91.58892582949886, 91.73820004985969, 89.31368318402099]",5.0,True,7.0,3.1622776601683795,2.028287410736084,0.7382249460901146
0,,101,2024-06-21 12:49:38,3,distance,cathedral,numerosity_judgement,99,1,2,countries_reversed,"['_Britain_reversed', '_Oman_reversed']","['m', 'f']","['p318', 'p245']","[0, 7]","[84.40078082039426, 91.73820004985969]",2.0,True,5.5,4.949747468305833,1.3432197570800781,0.7009874021109976
0,,101,2024-06-21 12:49:43,3,distance,cathedral,numerosity_judgement,99,2,4,countries_reversed,"['_Congo_reversed', '_Britain_reversed', '_Japan_reversed', '_Cuba_reversed']","['m', 'm', 'f', 'm']","['p307', 'p229', 'p245', 'p318']","[4, 3, 6, 5]","[89.31368318402099, 89.14911522239515, 91.58892582949886, 90.34149293193902]",3.0,False,6.5,1.2909944487358056,2.157034397125244,0.8352627397571217
0,,101,2024-06-21 12:49:48,3,distance,cathedral,numerosity_judgement,99,3,6,countries_reversed,"['_Tonga_reversed', '_Sudan_reversed', '_Oman_reversed', '_Cuba_reversed', '_Mali_reversed', '_Togo_reversed']","['f', 'm', 'm', 'f', 'f', 'm']","['p268', 'p307', 'p229', 'p245', 'p284', 'p318']","[0, 6, 1, 7, 8, 4]","[84.40078082039426, 91.58892582949886, 86.2038576498559, 91.73820004985969, 92.0152836843556, 89.31368318402099]",4.0,False,6.333333333333333,3.265986323710904,2.3603954315185547,0.7584723640903416
0,,101,2024-06-21 12:49:52,3,distance,cathedral,numerosity_judgement,99,4,3,countries_reversed,"['_Britain_reversed', '_Peru_reversed', '_Tonga_reversed']","['m', 'm', 'f']","['p256', 'p307', 'p268']","[10, 4, 0]","[93.00003341222717, 89.31368318402099, 84.40078082039426]",5.0,False,6.666666666666667,5.033222956847167,1.6100122928619385,0.7426058336170696
0,,101,2024-06-21 12:50:25,3,distance,cathedral,numerosity_judgement,99,5,4,countries_reversed,"['_Sudan_reversed', '_Togo_reversed', '_Japan_reversed', '_Yemen_reversed']","['m', 'f', 'f', 'm']","['p307', 'p248', 'p268', 'p229']","[7, 1, 8, 4]","[91.73820004985969, 86.2038576498559, 92.0152836843556, 89.31368318402099]",5.0,False,7.0,3.1622776601683795,29.925026893615723,0.856622403813415
0,,101,2024-06-21 12:50:29,3,distance,cathedral,numerosity_judgement,99,6,2,countries_reversed,"['_Britain_reversed', '_Congo_reversed']","['f', 'm']","['p268', 'p256']","[0, 10]","[84.40078082039426, 93.00003341222717]",3.0,False,7.0,7.0710678118654755,1.7030041217803955,0.8076835773464986
0,,101,2024-06-21 12:50:38,3,distance,cathedral,numerosity_judgement,99,7,5,countries_reversed,"['_Syria_reversed', '_Tonga_reversed', '_Peru_reversed', '_Yemen_reversed', '_Sudan_reversed']","['m', 'f', 'f', 'm', 'm']","['p307', 'p248', 'p245', 'p318', 'p229']","[8, 10, 4, 3, 9]","[92.0152836843556, 93.00003341222717, 89.31368318402099, 89.14911522239515, 92.00610777531934]",3.0,False,8.8,3.1144823004794873,5.828014850616455,0.8066734763363976
0,,101,2024-06-21 12:50:42,3,distance,cathedral,numerosity_judgement,99,8,3,countries_reversed,"['_Oman_reversed', '_Syria_reversed', '_Yemen_reversed']","['m', 'f', 'f']","['p256', 'p245', 'p284']","[5, 6, 2]","[90.34149293193902, 91.58892582949886, 87.57049330475357]",4.0,False,6.333333333333333,2.0816659994661326,1.3914949893951416,0.6491544660083985
0,,101,2024-06-21 12:50:46,3,distance,cathedral,numerosity_judgement,99,9,6,countries_reversed,"['_Yemen_reversed', '_Peru_reversed', '_Syria_reversed', '_Oman_reversed', '_Cuba_reversed', '_Britain_reversed']","['m', 'm', 'm', 'f', 'f', 'f']","['p229', 'p318', 'p307', 'p248', 'p268', 'p245']","[7, 8, 5, 4, 6, 1]","[91.73820004985969, 92.0152836843556, 90.34149293193902, 89.31368318402099, 91.58892582949886, 86.2038576498559]",5.0,False,7.166666666666667,2.48327740429189,1.235478162765503,0.7214277607536035
0,,101,2024-06-21 12:50:55,3,distance,cathedral,numerosity_judgement,99,10,2,countries_reversed,"['_Yemen_reversed', '_Congo_reversed']","['m', 'm']","['p229', 'p318']","[5, 1]","[90.34149293193902, 86.2038576498559]",2.0,True,5.0,2.8284271247461903,6.234977960586548,0.7309726478265804
0,,101,2024-06-21 12:51:00,3,distance,cathedral,numerosity_judgement,99,11,6,countries_reversed,"['_Mali_reversed', '_Togo_reversed', '_Britain_reversed', '_Yemen_reversed', '_Japan_reversed', '_Sudan_reversed']","['f', 'f', 'm', 'm', 'm', 'm']","['p284', 'p248', 'p307', 'p256', 'p318', 'p229']","[4, 5, 6, 1, 2, 8]","[89.31368318402099, 90.34149293193902, 91.58892582949886, 86.2038576498559, 87.57049330475357, 92.0152836843556]",5.0,False,6.333333333333333,2.581988897471611,1.6561367511749268,0.8894790602655771
0,,101,2024-06-21 12:51:03,3,distance,cathedral,numerosity_judgement,99,12,3,countries_reversed,"['_Oman_reversed', '_Syria_reversed', '_Tonga_reversed']","['f', 'm', 'f']","['p268', 'p229', 'p248']","[1, 4, 10]","[86.2038576498559, 89.31368318402099, 93.00003341222717]",3.0,True,7.0,4.58257569495584,1.2655384540557861,0.7712631937351039
0,,101,2024-06-21 12:51:11,3,distance,cathedral,numerosity_judgement,99,13,4,countries_reversed,"['_Yemen_reversed', '_Tonga_reversed', '_Cuba_reversed', '_Britain_reversed']","['f', 'm', 'f', 'm']","['p248', 'p229', 'p245', 'p256']","[8, 4, 2, 6]","[92.0152836843556, 89.31368318402099, 87.57049330475357, 91.58892582949886]",4.0,True,7.0,2.581988897471611,4.53579306602478,0.7208035410282602
0,,101,2024-06-21 13:19:04,3,distance,cathedral,numerosity_judgement,99,0,6,countries_reversed,"['_Syria_reversed', '_Britain_reversed', '_Yemen_reversed', '_Mali_reversed', '_Sudan_reversed', '_Tonga_reversed']","['f', 'm', 'm', 'f', 'm', 'f']","['p268', 'p256', 'p307', 'p245', 'p229', 'p284']","[10, 0, 9, 8, 3, 5]","[93.00003341222717, 84.40078082039426, 92.00610777531934, 92.0152836843556, 89.14911522239515, 90.34149293193902]",6.0,True,7.833333333333333,3.8686776379877745,2.960503578186035,0.8190670752468505
0,,101,2024-06-21 13:19:09,3,distance,cathedral,numerosity_judgement,99,1,5,countries_reversed,"['_Britain_reversed', '_Japan_reversed', '_Peru_reversed', '_Oman_reversed', '_Yemen_reversed']","['m', 'm', 'f', 'f', 'f']","['p229', 'p256', 'p248', 'p245', 'p268']","[1, 7, 6, 0, 9]","[86.2038576498559, 91.73820004985969, 91.58892582949886, 84.40078082039426, 92.00610777531934]",2.0,False,6.6,3.9115214431215892,1.6717612743377686,0.6797525819997731
0,,101,2024-06-21 13:19:13,3,distance,cathedral,numerosity_judgement,99,2,4,countries_reversed,"['_Peru_reversed', '_Mali_reversed', '_Belgium_reversed', '_Yemen_reversed']","['f', 'm', 'm', 'f']","['p248', 'p229', 'p307', 'p268']","[10, 5, 8, 6]","[93.00003341222717, 90.34149293193902, 92.0152836843556, 91.58892582949886]",3.0,False,9.25,2.217355782608345,1.3436589241027832,0.802281239359891
0,,101,2024-06-21 13:20:40,3,distance,cathedral,numerosity_judgement,99,0,4,countries_reversed,"['_Peru_reversed', '_Oman_reversed', '_Britain_reversed', '_Mali_reversed']","['m', 'f', 'm', 'f']","['p318', 'p245', 'p256', 'p248']","[10, 0, 1, 9]","[93.00003341222717, 84.40078082039426, 86.2038576498559, 92.00610777531934]",2.0,False,7.0,5.228129047119374,1.6092658042907715,0.7409715128816252
0,,101,2024-06-21 13:20:45,3,distance,cathedral,numerosity_judgement,99,1,2,countries_reversed,"['_Oman_reversed', '_Syria_reversed']","['f', 'm']","['p268', 'p307']","[9, 6]","[92.00610777531934, 91.58892582949886]",3.0,False,9.5,2.1213203435596424,1.874871015548706,0.7552604698672114
0,,101,2024-06-21 13:20:49,3,distance,cathedral,numerosity_judgement,99,2,5,countries_reversed,"['_Peru_reversed', '_Congo_reversed', '_Syria_reversed', '_Britain_reversed', '_Yemen_reversed']","['m', 'f', 'm', 'm', 'f']","['p318', 'p284', 'p256', 'p229', 'p245']","[7, 1, 4, 10, 8]","[91.73820004985969, 86.2038576498559, 89.31368318402099, 93.00003341222717, 92.0152836843556]",4.0,False,8.0,3.5355339059327378,1.5936434268951416,0.8352059925093633
0,,101,2024-06-21 13:20:53,3,distance,cathedral,numerosity_judgement,99,3,3,countries_reversed,"['_Sudan_reversed', '_Syria_reversed', '_Tonga_reversed']","['f', 'm', 'f']","['p268', 'p229', 'p284']","[8, 3, 9]","[92.0152836843556, 89.14911522239515, 92.00610777531934]",3.0,True,8.666666666666666,3.214550253664318,1.7853484153747559,0.92896379525593
0,,101,2024-06-21 13:20:58,3,distance,cathedral,numerosity_judgement,99,4,6,countries_reversed,"['_Britain_reversed', '_Yemen_reversed', '_Syria_reversed', '_Oman_reversed', '_Peru_reversed', '_Tonga_reversed']","['m', 'f', 'm', 'm', 'f', 'f']","['p229', 'p268', 'p256', 'p318', 'p248', 'p245']","[9, 5, 6, 4, 10, 7]","[92.00610777531934, 90.34149293193902, 91.58892582949886, 89.31368318402099, 93.00003341222717, 91.73820004985969]",5.0,False,8.833333333333334,2.3166067138525404,1.2808372974395752,0.685143570536829
0,,101,2024-06-21 13:21:11,3,distance,cathedral,numerosity_judgement,99,5,4,countries_reversed,"['_Japan_reversed', '_Cuba_reversed', '_Congo_reversed', '_Belgium_reversed']","['m', 'f', 'm', 'f']","['p307', 'p284', 'p229', 'p268']","[8, 10, 0, 1]","[92.0152836843556, 93.00003341222717, 84.40078082039426, 86.2038576498559]",2.0,False,6.75,4.9916597106239795,10.407204627990723,0.9118828736806264
0,,101,2024-06-21 13:21:15,3,distance,cathedral,numerosity_judgement,99,6,5,countries_reversed,"['_Syria_reversed', '_Japan_reversed', '_Tonga_reversed', '_Togo_reversed', '_Sudan_reversed']","['m', 'm', 'f', 'f', 'f']","['p318', 'p229', 'p245', 'p248', 'p268']","[6, 1, 2, 5, 0]","[91.58892582949886, 86.2038576498559, 87.57049330475357, 90.34149293193902, 84.40078082039426]",5.0,True,4.8,2.588435821108957,1.48427414894104,0.9319146521393712
0,,101,2024-06-21 13:21:20,3,distance,cathedral,numerosity_judgement,99,7,6,countries_reversed,"['_Yemen_reversed', '_Britain_reversed', '_Cuba_reversed', '_Belgium_reversed', '_Tonga_reversed', '_Peru_reversed']","['f', 'f', 'm', 'f', 'm', 'm']","['p245', 'p248', 'p318', 'p268', 'p256', 'p229']","[4, 1, 6, 5, 9, 3]","[89.31368318402099, 86.2038576498559, 91.58892582949886, 90.34149293193902, 92.00610777531934, 89.14911522239515]",6.0,True,6.666666666666667,2.7325202042558927,1.781127691268921,0.8351378958120531
0,,101,2024-06-21 13:21:24,3,distance,cathedral,numerosity_judgement,99,8,3,countries_reversed,"['_Britain_reversed', '_Belgium_reversed', '_Peru_reversed']","['m', 'm', 'f']","['p307', 'p256', 'p245']","[4, 0, 2]","[89.31368318402099, 84.40078082039426, 87.57049330475357]",3.0,True,4.0,2.0,1.6717627048492432,0.78053569401884
0,,101,2024-06-21 13:21:28,3,distance,cathedral,numerosity_judgement,99,9,2,countries_reversed,"['_Cuba_reversed', '_Belgium_reversed']","['f', 'f']","['p284', 'p245']","[1, 10]","[86.2038576498559, 93.00003341222717]",2.0,True,7.5,6.363961030678928,1.6812810897827148,0.8330155487458858
0,,101,2024-06-21 13:33:40,3,distance,cathedral,numerosity_judgement,99,0,2,countries_reversed,"['_Mali_reversed', '_Oman_reversed']","['f', 'f']","['p245', 'p248']","[5, 4]","[90.34149293193902, 89.31368318402099]",2.0,True,6.5,0.7071067811865476,0.18748736381530762,0.6385313812280105
0,,101,2024-06-21 13:33:45,3,distance,cathedral,numerosity_judgement,99,1,5,countries_reversed,"['_Oman_reversed', '_Peru_reversed', '_Mali_reversed', '_Syria_reversed', '_Belgium_reversed']","['f', 'm', 'f', 'f', 'm']","['p248', 'p256', 'p268', 'p284', 'p307']","[4, 8, 7, 1, 9]","[89.31368318402099, 92.0152836843556, 91.73820004985969, 86.2038576498559, 92.00610777531934]",2.0,False,7.8,3.2710854467592254,2.1411798000335693,0.8171830666212688
0,,101,2024-06-21 13:33:49,3,distance,cathedral,numerosity_judgement,99,2,6,countries_reversed,"['_Mali_reversed', '_Congo_reversed', '_Tonga_reversed', '_Togo_reversed', '_Sudan_reversed', '_Peru_reversed']","['m', 'f', 'm', 'm', 'm', 'f']","['p256', 'p268', 'p229', 'p307', 'p318', 'p284']","[0, 3, 6, 10, 2, 4]","[84.40078082039426, 89.14911522239515, 91.58892582949886, 93.00003341222717, 87.57049330475357, 89.31368318402099]",2.0,False,6.166666666666667,3.488074922742725,1.119558334350586,0.9006696175235501
0,,101,2024-06-21 13:33:57,3,distance,cathedral,numerosity_judgement,99,3,4,countries_reversed,"['_Syria_reversed', '_Britain_reversed', '_Belgium_reversed', '_Congo_reversed']","['m', 'f', 'f', 'f']","['p318', 'p248', 'p245', 'p284']","[4, 2, 9, 5]","[89.31368318402099, 87.57049330475357, 92.00610777531934, 90.34149293193902]",2.0,False,7.0,2.943920288775949,5.391036510467529,0.8989218022925888
0,,101,2024-06-21 13:34:52,3,distance,cathedral,numerosity_judgement,99,0,2,countries_reversed,"['_Japan_reversed', '_Syria_reversed']","['m', 'f']","['p229', 'p284']","[6, 2]","[91.58892582949886, 87.57049330475357]",2.0,True,6.0,2.8284271247461903,1.0624282360076904,0.8577006015208263
0,,101,2024-06-21 13:34:56,3,distance,cathedral,numerosity_judgement,99,1,4,countries_reversed,"['_Cuba_reversed', '_Britain_reversed', '_Syria_reversed', '_Belgium_reversed']","['f', 'm', 'f', 'm']","['p284', 'p307', 'p248', 'p256']","[6, 9, 0, 5]","[91.58892582949886, 92.00610777531934, 84.40078082039426, 90.34149293193902]",3.0,False,7.0,3.7416573867739413,0.37497520446777344,0.773464986948133
0,,101,2024-06-21 13:35:00,3,distance,cathedral,numerosity_judgement,99,2,6,countries_reversed,"['_Tonga_reversed', '_Peru_reversed', '_Syria_reversed', '_Belgium_reversed', '_Yemen_reversed', '_Cuba_reversed']","['m', 'f', 'm', 'm', 'f', 'f']","['p318', 'p245', 'p229', 'p256', 'p284', 'p248']","[2, 6, 5, 8, 1, 10]","[87.57049330475357, 91.58892582949886, 90.34149293193902, 92.0152836843556, 86.2038576498559, 93.00003341222717]",2.0,False,7.333333333333333,3.444802848737017,0.4530949592590332,0.7802973555782544
